time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
130.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.51748701707273 , 15.24615349596041
131.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.576929843632634 , 15.240428196447546
132.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.6356756969932 , 15.234704083184422
133.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.693732706193316 , 15.228981157509855
134.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.751108905468875 , 15.223259420759335
135.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.80781223535931 , 15.217538874265262
136.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.863850543801846 , 15.211819519356778
137.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.91923158720882 , 15.206101357359852
138.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.97396303153636 , 15.200384389597184
139.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.02805245333978 , 15.19466861738843
140.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.08150734081623 , 15.18895404204992
141.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.13433509483417 , 15.183240664894898
142.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.18654302995128 , 15.177528487233435
143.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.23813837542301 , 15.17181751037239
144.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.2891282761967 , 15.16610773561552
145.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.339519793893714 , 15.160399164263387
146.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.3893199077829 , 15.154691797613392
147.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.43853551573833 , 15.148985636959818
148.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.487173435192666 , 15.143280683593785
149.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.53524040407127 , 15.137576938803367
150.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.58274308172192 , 15.131874403873407
151.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.629688049829944 , 15.126173080085593
152.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.67608181332373 , 15.120472968718593
153.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.72193080127196 , 15.114774071047883
154.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.76724136776655 , 15.10907638834593
155.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.812019792795944 , 15.103379921882004
156.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.856272283112204 , 15.097684672922261
157.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.90000497308294 , 15.09199064272985
158.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.94322392553637 , 15.086297832564775
159.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 34.98593513259541 , 15.080606243683949
160.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.028144516502415 , 15.074915877341201
161.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.06985793043355 , 15.069226734787316
162.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.11108115930498 , 15.06353881726999
163.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.15181992056892 , 15.057852126033861
164.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.1920798649996 , 15.052166662320563
165.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.23186657747212 , 15.046482427368524
166.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.27118557772924 , 15.040799422413238
167.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.31004232114262 , 15.035117648687113
168.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.34844219946344 , 15.029437107419573
169.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.38639054156273 , 15.023757799836908
170.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.42389261416671 , 15.018079727162448
171.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.46095362258013 , 15.0124028906165
172.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.49757871140281 , 15.006727291416322
173.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.53377296523855 , 15.001052930776144
174.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.56954140939393 , 14.995379809907213
175.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.60488901056907 , 14.989707930017758
176.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.63982067754345 , 14.984037292312907
177.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.67434126184926 , 14.978367897994552
178.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.70845555843927 , 14.972699748262896
179.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.742168306348574 , 14.967032844313632
180.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.77548418934494 , 14.961367187340036
181.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.80840783657232 , 14.955702778532384
182.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.84094382319057 , 14.950039619078021
183.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.87309667100371 , 14.944377710161262
184.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.904870849081796 , 14.938717052963499
185.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.93627077437682 , 14.933057648663139
186.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.96730081232951 , 14.92739949843565
187.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 35.99796527747093 , 14.921742603453565
188.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.02826843401507 , 14.916086964886443
