time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
245.0,1.0,1.0E-7,1.0E-7,6.219560000003425,0.0,15.983228534002324
246.0,1.0,1.0E-7,1.0E-7,6.175560000003465,0.0,15.983094024971308
247.0,1.0,1.0E-7,1.0E-7,6.131560000003506,0.0,15.982959003909587
248.0,1.0,1.0E-7,1.0E-7,6.0875600000035455,0.0,15.982823471137246
249.0,1.0,1.0E-7,1.0E-7,6.043560000003586,0.0,15.982687426969084
250.0,1.0,1.0E-7,1.0E-7,5.9999000000008245,0.0,15.982550871714626
251.0,1.0,1.0E-7,1.0E-7,5.989900000000834,0.0,15.982413805678133
252.0,1.0,1.0E-7,1.0E-7,5.979900000000842,0.0,15.98227622915862
253.0,1.0,1.0E-7,1.0E-7,5.969900000000852,0.0,15.982138142449905
254.0,1.0,1.0E-7,1.0E-7,5.959900000000861,0.0,15.981999545844705
255.0,1.0,1.0E-7,1.0E-7,5.94990000000087,0.0,15.981860439634639
256.0,1.0,1.0E-7,1.0E-7,5.939680000002811,0.0,15.98172082411023
257.0,1.0,1.0E-7,1.0E-7,5.9076800000028395,0.0,15.981580699560904
258.0,1.0,1.0E-7,1.0E-7,5.875680000002869,0.0,15.981440066275
259.0,1.0,1.0E-7,1.0E-7,5.843680000002898,0.0,15.98129892453974
260.0,1.0,1.0E-7,1.0E-7,5.811680000002928,0.0,15.981157274638589
261.0,1.0,1.0E-7,1.0E-7,5.779780000002033,0.0,15.981015116851268
262.0,1.0,1.0E-7,1.0E-7,5.757780000002052,0.0,15.980872451453761
263.0,1.0,1.0E-7,1.0E-7,5.735780000002072,0.0,15.980729278718325
264.0,1.0,1.0E-7,1.0E-7,5.713780000002092,0.0,15.98058559891351
265.0,1.0,1.0E-7,1.0E-7,5.691780000002113,0.0,15.980441412305371
266.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.98029671915747
267.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.980151519730883
268.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.980005814284208
269.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.979859603073596
270.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.979712886355395
271.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.979565664386158
272.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.979417937422628
273.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.979269705721753
274.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.979120969540672
275.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.97897172913672
276.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.97882198476743
277.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.978671736690526
278.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.978520985163925
279.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.978369730445738
280.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.978217972794265
281.0,1.0,1.0E-7,1.0E-7,5.670219999997567,0.0,15.978065712467997
282.0,1.0,1.0E-7,1.0E-7,5.692219999997548,0.0,15.977912949725614
283.0,1.0,1.0E-7,1.0E-7,5.714219999997527,0.0,15.977759684825987
284.0,1.0,1.0E-7,1.0E-7,5.736219999997507,0.0,15.9776059180282
285.0,1.0,1.0E-7,1.0E-7,5.758219999997488,0.0,15.977451649594192
286.0,1.0,1.0E-7,1.0E-7,5.779780000002532,0.0,15.97729687978875
287.0,1.0,1.0E-7,1.0E-7,5.757780000002553,0.0,15.977141608879496
288.0,1.0,1.0E-7,1.0E-7,5.735780000002572,0.0,15.976985837136889
289.0,1.0,1.0E-7,1.0E-7,5.713780000002593,0.0,15.976829564834159
290.0,1.0,1.0E-7,1.0E-7,5.691780000002613,0.0,15.976672792242015
291.0,1.0,1.0E-7,1.0E-7,5.670219999997367,0.0,15.976515519628656
292.0,1.0,1.0E-7,1.0E-7,5.692219999997347,0.0,15.976357747259774
293.0,1.0,1.0E-7,1.0E-7,5.7142199999973275,0.0,15.976199475398564
294.0,1.0,1.0E-7,1.0E-7,5.736219999997308,0.0,15.976040704305776
295.0,1.0,1.0E-7,1.0E-7,5.758219999997287,0.0,15.975881434245007
296.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.975721665482697
297.0,1.0,1.0E-7,1.0E-7,5.779999999999999,0.0,15.975561398288114
298.0,1.0,1.0E-7,1.0E-7,5.779999999999999,0.0,15.975400632933352
299.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.975239369693293
300.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.975077608842962
301.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.974915350657527
302.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.974752595412292
303.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.974589343382705
304.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.97442559484435
305.0,1.0,1.0E-7,1.0E-7,5.78,0.0,15.974261350072949
306.0,1.0,1.0E-7,1.0E-7,5.7797800000029325,0.0,15.974096609344363
307.0,1.0,1.0E-7,1.0E-7,5.757780000002953,0.0,15.973931372934588
308.0,1.0,1.0E-7,1.0E-7,5.735780000002972,0.0,15.973765641119757
309.0,1.0,1.0E-7,1.0E-7,5.713780000002993,0.0,15.97359941417611
310.0,1.0,1.0E-7,1.0E-7,5.691780000003013,0.0,15.973432692377356
311.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.973265475994676
312.0,1.0,1.0E-7,1.0E-7,5.669999999999999,0.0,15.973097765296728
313.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.972929560549659
314.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.972760862017129
315.0,1.0,1.0E-7,1.0E-7,5.67,0.0,15.972591669962963
316.0,1.0,1.0E-7,1.0E-7,5.669780000003133,0.0,15.97242198465115
317.0,1.0,1.0E-7,1.0E-7,5.647780000003152,0.0,15.972251806345845
318.0,1.0,1.0E-7,1.0E-7,5.625780000003172,0.0,15.972081135311358
319.0,1.0,1.0E-7,1.0E-7,5.6037800000031925,0.0,15.971909971812138
320.0,1.0,1.0E-7,1.0E-7,5.581780000003212,0.0,15.971738316110127
321.0,1.0,1.0E-7,1.0E-7,5.559999999999999,0.0,15.971566168464761
322.0,1.0,1.0E-7,1.0E-7,5.559999999999999,0.0,15.971393529132987
323.0,1.0,1.0E-7,1.0E-7,5.559999999999999,0.0,15.971220398369258
324.0,1.0,1.0E-7,1.0E-7,5.56,0.0,15.97104677642557
